Date	Close
2021-05-20	21.0
2021-05-21	20.0
2021-05-24	18.0
2021-05-25	19.0
2021-05-26	17.0
2021-05-27	17.0
2021-05-28	17.0
2021-06-01	18.0
2021-06-02	17.0
2021-06-03	18.0
2021-06-04	16.0
2021-06-07	16.0
2021-06-08	17.0
2021-06-09	18.0
2021-06-10	16.0
2021-06-11	16.0
2021-06-14	16.0
2021-06-15	17.0
2021-06-16	18.0
2021-06-17	18.0
2021-06-18	21.0
2021-06-21	18.0
2021-06-22	17.0
2021-06-23	16.0
2021-06-24	16.0
2021-06-25	16.0
2021-06-28	16.0
2021-06-29	16.0
2021-06-30	16.0
2021-07-01	15.0
2021-07-02	15.0
2021-07-06	16.0
2021-07-07	16.0
2021-07-08	19.0
2021-07-09	16.0
2021-07-12	16.0
2021-07-13	17.0
2021-07-14	16.0
2021-07-15	17.0
2021-07-16	18.0
2021-07-19	22.0
2021-07-20	20.0
2021-07-21	18.0
2021-07-22	18.0
2021-07-23	17.0
2021-07-26	18.0
2021-07-27	19.0
2021-07-28	18.0
2021-07-29	18.0
2021-07-30	18.0
2021-08-02	19.0
2021-08-03	18.0
2021-08-04	18.0
2021-08-05	17.0
2021-08-06	16.0
2021-08-09	17.0
2021-08-10	17.0
2021-08-11	16.0
2021-08-12	16.0
2021-08-13	15.0
2021-08-16	16.0
2021-08-17	18.0
2021-08-18	22.0
2021-08-19	22.0
2021-08-20	19.0
2021-08-23	17.0
2021-08-24	17.0
2021-08-25	17.0
2021-08-26	19.0
2021-08-27	16.0
2021-08-30	16.0
2021-08-31	16.0
2021-09-01	16.0
2021-09-02	16.0
2021-09-03	16.0
2021-09-07	18.0
2021-09-08	18.0
2021-09-09	19.0
2021-09-10	21.0
2021-09-13	19.0
2021-09-14	19.0
2021-09-15	18.0
2021-09-16	19.0
2021-09-17	21.0
2021-09-20	26.0
2021-09-21	24.0
2021-09-22	21.0
2021-09-23	19.0
2021-09-24	18.0
2021-09-27	19.0
2021-09-28	23.0
2021-09-29	23.0
2021-09-30	23.0
2021-10-01	21.0
2021-10-04	23.0
2021-10-05	21.0
2021-10-06	21.0
2021-10-07	20.0
2021-10-08	19.0
2021-10-11	20.0
2021-10-12	20.0
2021-10-13	19.0
2021-10-14	17.0
2021-10-15	16.0
2021-10-18	16.0
2021-10-19	16.0
2021-10-20	15.0
2021-10-21	15.0
2021-10-22	15.0
2021-10-25	15.0
2021-10-26	16.0
2021-10-27	17.0
2021-10-28	17.0
2021-10-29	16.0
2021-11-01	16.0
2021-11-02	16.0
2021-11-03	15.0
2021-11-04	15.0
2021-11-05	16.0
2021-11-08	17.0
2021-11-09	18.0
2021-11-10	19.0
2021-11-11	18.0
2021-11-12	16.0
2021-11-15	16.0
2021-11-16	16.0
2021-11-17	17.0
2021-11-18	18.0
2021-11-19	18.0
2021-11-22	19.0
2021-11-23	19.0
2021-11-24	19.0
2021-11-26	29.0
2021-11-29	23.0
2021-11-30	27.0
2021-12-01	31.0
2021-12-02	28.0
2021-12-03	31.0
2021-12-06	27.0
2021-12-07	22.0
2021-12-08	20.0
2021-12-09	22.0
2021-12-10	19.0
2021-12-13	20.0
2021-12-14	22.0
2021-12-15	19.0
2021-12-16	21.0
2021-12-17	22.0
2021-12-20	23.0
2021-12-21	21.0
2021-12-22	19.0
2021-12-23	18.0
2021-12-27	18.0
2021-12-28	18.0
2021-12-29	17.0
2021-12-30	17.0
2021-12-31	17.0
2022-01-03	17.0
2022-01-04	17.0
2022-01-05	20.0
2022-01-06	20.0
2022-01-07	19.0
2022-01-10	19.0
2022-01-11	18.0
2022-01-12	18.0
2022-01-13	20.0
2022-01-14	19.0
2022-01-18	23.0
2022-01-19	24.0
2022-01-20	26.0
2022-01-21	29.0
2022-01-24	30.0
2022-01-25	31.0
2022-01-26	32.0
2022-01-27	30.0
2022-01-28	28.0
2022-01-31	25.0
2022-02-01	22.0
2022-02-02	22.0
2022-02-03	24.0
2022-02-04	23.0
2022-02-07	23.0
2022-02-08	21.0
2022-02-09	20.0
2022-02-10	24.0
2022-02-11	27.0
2022-02-14	28.0
2022-02-15	26.0
2022-02-16	24.0
2022-02-17	28.0
2022-02-18	28.0
2022-02-22	29.0
2022-02-23	31.0
2022-02-24	30.0
2022-02-25	28.0
2022-02-28	30.0
2022-03-01	33.0
2022-03-02	31.0
2022-03-03	30.0
2022-03-04	32.0
2022-03-07	36.0
2022-03-08	35.0
2022-03-09	32.0
2022-03-10	30.0
2022-03-11	31.0
2022-03-14	32.0
2022-03-15	30.0
2022-03-16	27.0
2022-03-17	26.0
2022-03-18	24.0
2022-03-21	24.0
2022-03-22	23.0
2022-03-23	24.0
2022-03-24	22.0
2022-03-25	21.0
2022-03-28	20.0
2022-03-29	19.0
2022-03-30	19.0
2022-03-31	21.0
2022-04-01	20.0
2022-04-04	19.0
2022-04-05	21.0
2022-04-06	22.0
2022-04-07	22.0
2022-04-08	21.0
2022-04-11	24.0
2022-04-12	24.0
2022-04-13	22.0
2022-04-14	23.0
2022-04-18	22.0
2022-04-19	21.0
2022-04-20	20.0
2022-04-21	23.0
2022-04-22	28.0
2022-04-25	27.0
2022-04-26	34.0
2022-04-27	32.0
2022-04-28	30.0
2022-04-29	33.0
2022-05-02	32.0
2022-05-03	29.0
2022-05-04	25.0
2022-05-05	31.0
2022-05-06	30.0
2022-05-09	35.0
2022-05-10	33.0
2022-05-11	33.0
2022-05-12	32.0
2022-05-13	29.0
2022-05-16	27.0
2022-05-17	26.0
2022-05-18	31.0
2022-05-19	29.0
2022-05-20	29.0
2022-05-23	28.0
2022-05-24	29.0
2022-05-25	28.0
2022-05-26	28.0
2022-05-27	26.0
2022-05-31	26.0
2022-06-01	26.0
2022-06-02	25.0
2022-06-03	25.0
2022-06-06	25.0
2022-06-07	24.0
2022-06-08	24.0
2022-06-09	26.0
2022-06-10	28.0
2022-06-13	34.0
2022-06-14	33.0
2022-06-15	30.0
2022-06-16	33.0
2022-06-17	31.0
2022-06-21	30.0
2022-06-22	29.0
2022-06-23	29.0
2022-06-24	27.0
2022-06-27	27.0
2022-06-28	28.0
2022-06-29	28.0
2022-06-30	29.0
2022-07-01	27.0
2022-07-05	28.0
2022-07-06	27.0
2022-07-07	26.0
2022-07-08	25.0
2022-07-11	26.0
2022-07-12	27.0
2022-07-13	27.0
2022-07-14	26.0
2022-07-15	24.0
2022-07-18	25.0
2022-07-19	24.0
2022-07-20	24.0
2022-07-21	23.0
2022-07-22	23.0
2022-07-25	23.0
2022-07-26	25.0
2022-07-27	23.0
2022-07-28	22.0
2022-07-29	21.0
2022-08-01	23.0
2022-08-02	24.0
2022-08-03	22.0
2022-08-04	21.0
2022-08-05	21.0
2022-08-08	21.0
2022-08-09	22.0
2022-08-10	20.0
2022-08-11	20.0
2022-08-12	20.0
2022-08-15	20.0
2022-08-16	20.0
2022-08-17	20.0
2022-08-18	20.0
2022-08-19	21.0
2022-08-22	24.0
2022-08-23	24.0
2022-08-24	23.0
2022-08-25	22.0
2022-08-26	26.0
2022-08-29	26.0
2022-08-30	26.0
2022-08-31	26.0
2022-09-01	26.0
2022-09-02	25.0
2022-09-06	27.0
2022-09-07	25.0
2022-09-08	24.0
2022-09-09	23.0
2022-09-12	24.0
2022-09-13	27.0
2022-09-14	26.0
2022-09-15	26.0
2022-09-16	26.0
2022-09-19	26.0
2022-09-20	27.0
2022-09-21	28.0
2022-09-22	27.0
2022-09-23	30.0
2022-09-26	32.0
2022-09-27	33.0
2022-09-28	30.0
2022-09-29	32.0
2022-09-30	32.0
2022-10-03	30.0
2022-10-04	29.0
2022-10-05	29.0
2022-10-06	31.0
2022-10-07	31.0
2022-10-10	32.0
2022-10-11	34.0
2022-10-12	34.0
2022-10-13	32.0
2022-10-14	32.0
2022-10-17	31.0
2022-10-18	30.0
2022-10-19	31.0
2022-10-20	30.0
2022-10-21	30.0
2022-10-24	30.0
2022-10-25	28.0
2022-10-26	27.0
2022-10-27	27.0
2022-10-28	26.0
2022-10-31	26.0
2022-11-01	26.0
2022-11-02	26.0
2022-11-03	25.0
2022-11-04	25.0
2022-11-07	24.0
2022-11-08	26.0
2022-11-09	26.0
2022-11-10	24.0
2022-11-11	23.0
2022-11-14	24.0
2022-11-15	25.0
2022-11-16	24.0
2022-11-17	24.0
2022-11-18	23.0
2022-11-21	22.0
2022-11-22	21.0
2022-11-23	20.0
2022-11-25	20.0
2022-11-28	22.0
2022-11-29	22.0
2022-11-30	21.0
2022-12-01	20.0
2022-12-02	19.0
2022-12-05	21.0
2022-12-06	22.0
2022-12-07	23.0
2022-12-08	22.0
2022-12-09	23.0
2022-12-12	25.0
2022-12-13	23.0
2022-12-14	21.0
2022-12-15	23.0
2022-12-16	23.0
2022-12-19	22.0
2022-12-20	21.0
2022-12-21	20.0
2022-12-22	22.0
2022-12-23	21.0
2022-12-27	22.0
2022-12-28	22.0
2022-12-29	21.0
2022-12-30	22.0
2023-01-03	23.0
2023-01-04	22.0
2023-01-05	22.0
2023-01-06	21.0
2023-01-09	22.0
2023-01-10	21.0
2023-01-11	21.0
2023-01-12	19.0
2023-01-13	18.0
2023-01-17	19.0
2023-01-18	20.0
2023-01-19	21.0
2023-01-20	20.0
2023-01-23	20.0
2023-01-24	19.0
2023-01-25	19.0
2023-01-26	19.0
2023-01-27	19.0
2023-01-30	20.0
2023-01-31	19.0
2023-02-01	18.0
2023-02-02	19.0
2023-02-03	18.0
2023-02-06	19.0
2023-02-07	19.0
2023-02-08	20.0
2023-02-09	21.0
2023-02-10	21.0
2023-02-13	20.0
2023-02-14	19.0
2023-02-15	18.0
2023-02-16	20.0
2023-02-17	20.0
2023-02-21	23.0
2023-02-22	22.0
2023-02-23	21.0
2023-02-24	22.0
2023-02-27	21.0
2023-02-28	21.0
2023-03-01	21.0
2023-03-02	20.0
2023-03-03	18.0
2023-03-06	19.0
2023-03-07	20.0
2023-03-08	19.0
2023-03-09	23.0
2023-03-10	25.0
2023-03-13	27.0
2023-03-14	24.0
2023-03-15	26.0
2023-03-16	23.0
2023-03-17	26.0
2023-03-20	24.0
2023-03-21	21.0
2023-03-22	22.0
2023-03-23	23.0
2023-03-24	22.0
2023-03-27	21.0
2023-03-28	20.0
2023-03-29	19.0
2023-03-30	19.0
2023-03-31	19.0
2023-04-03	19.0
2023-04-04	19.0
2023-04-05	19.0
2023-04-06	18.0
2023-04-10	19.0
2023-04-11	19.0
2023-04-12	19.0
2023-04-13	18.0
2023-04-14	17.0
2023-04-17	17.0
2023-04-18	17.0
2023-04-19	16.0
2023-04-20	17.0
2023-04-21	17.0
2023-04-24	17.0
2023-04-25	19.0
2023-04-26	19.0
2023-04-27	17.0
2023-04-28	16.0
2023-05-01	16.0
2023-05-02	18.0
2023-05-03	18.0
2023-05-04	20.0
2023-05-05	17.0
2023-05-08	17.0
2023-05-09	18.0
2023-05-10	17.0
2023-05-11	17.0
2023-05-12	17.0
2023-05-15	17.0
2023-05-16	18.0
2023-05-17	17.0
2023-05-18	16.0
2023-05-19	17.0
2023-05-22	17.0
2023-05-23	19.0
2023-05-24	20.0
2023-05-25	19.0
2023-05-26	18.0
2023-05-30	17.0
2023-05-31	18.0
2023-06-01	16.0
2023-06-02	15.0
2023-06-05	15.0
2023-06-06	14.0
2023-06-07	14.0
2023-06-08	14.0
2023-06-09	14.0
2023-06-12	15.0
2023-06-13	15.0
2023-06-14	14.0
2023-06-15	14.0
2023-06-16	14.0
2023-06-20	14.0
2023-06-21	13.0
2023-06-22	13.0
2023-06-23	13.0
2023-06-26	14.0
2023-06-27	14.0
2023-06-28	13.0
2023-06-29	14.0
2023-06-30	14.0
2023-07-03	14.0
2023-07-05	14.0
2023-07-06	15.0
2023-07-07	15.0
2023-07-10	15.0
2023-07-11	15.0
2023-07-12	14.0
2023-07-13	14.0
2023-07-14	13.0
2023-07-17	13.0
2023-07-18	13.0
2023-07-19	14.0
2023-07-20	14.0
2023-07-21	14.0
2023-07-24	14.0
2023-07-25	14.0
2023-07-26	13.0
2023-07-27	14.0
2023-07-28	13.0
2023-07-31	14.0
2023-08-01	14.0
2023-08-02	16.0
2023-08-03	16.0
2023-08-04	17.0
2023-08-07	16.0
2023-08-08	16.0
2023-08-09	16.0
2023-08-10	16.0
2023-08-11	15.0
2023-08-14	15.0
2023-08-15	16.0
2023-08-16	17.0
2023-08-17	18.0
2023-08-18	17.0
2023-08-21	17.0
2023-08-22	17.0
2023-08-23	16.0
2023-08-24	17.0
2023-08-25	16.0
2023-08-28	15.0
2023-08-29	14.0
2023-08-30	14.0
2023-08-31	14.0
2023-09-01	13.0
2023-09-05	14.0
2023-09-06	14.0
2023-09-07	14.0
2023-09-08	14.0
2023-09-11	14.0
2023-09-12	14.0
2023-09-13	13.0
2023-09-14	13.0
2023-09-15	14.0
2023-09-18	14.0
2023-09-19	14.0
2023-09-20	15.0
2023-09-21	18.0
2023-09-22	17.0
2023-09-25	17.0
2023-09-26	19.0
2023-09-27	18.0
2023-09-28	17.0
2023-09-29	18.0
2023-10-02	18.0
2023-10-03	20.0
2023-10-04	19.0
2023-10-05	18.0
2023-10-06	17.0
2023-10-09	18.0
2023-10-10	17.0
2023-10-11	16.0
2023-10-12	17.0
2023-10-13	19.0
2023-10-16	17.0
2023-10-17	18.0
2023-10-18	19.0
2023-10-19	21.0
2023-10-20	22.0
